"palabra","frecuencia.Var1","frecuencia.Freq","documento"
3258,"poblado",1,"trad_gonzalez_garcia.pdf"
3259,"poblar",1,"trad_gonzalez_garcia.pdf"
3260,"pobre",17,"trad_gonzalez_garcia.pdf"
3261,"pobreza",1,"trad_gonzalez_garcia.pdf"
3262,"podar",1,"trad_gonzalez_garcia.pdf"
3263,"poderosamente",1,"trad_gonzalez_garcia.pdf"
3264,"poderoso",4,"trad_gonzalez_garcia.pdf"
3265,"podo",1,"trad_gonzalez_garcia.pdf"
3266,"podr",2,"trad_gonzalez_garcia.pdf"
3267,"podrar",2,"trad_gonzalez_garcia.pdf"
3268,"podréis",1,"trad_gonzalez_garcia.pdf"
3269,"poesía",4,"trad_gonzalez_garcia.pdf"
3270,"poeta",3,"trad_gonzalez_garcia.pdf"
3271,"poéticamente",1,"trad_gonzalez_garcia.pdf"
3272,"poético",1,"trad_gonzalez_garcia.pdf"
3273,"poltrona",1,"trad_gonzalez_garcia.pdf"
3274,"polvo",4,"trad_gonzalez_garcia.pdf"
3275,"pólvora",1,"trad_gonzalez_garcia.pdf"
3276,"poner",34,"trad_gonzalez_garcia.pdf"
3277,"ponér",1,"trad_gonzalez_garcia.pdf"
3278,"ponga",1,"trad_gonzalez_garcia.pdf"
3279,"pongo",2,"trad_gonzalez_garcia.pdf"
3280,"poniéndo",1,"trad_gonzalez_garcia.pdf"
3281,"populacho",1,"trad_gonzalez_garcia.pdf"
3282,"porquero",1,"trad_gonzalez_garcia.pdf"
3283,"portar",4,"trad_gonzalez_garcia.pdf"
3284,"portezuela",2,"trad_gonzalez_garcia.pdf"
3285,"posada",2,"trad_gonzalez_garcia.pdf"
3286,"posadera",2,"trad_gonzalez_garcia.pdf"
3287,"posado",1,"trad_gonzalez_garcia.pdf"
3288,"posar",3,"trad_gonzalez_garcia.pdf"
3289,"posdata",1,"trad_gonzalez_garcia.pdf"
3290,"poseer",5,"trad_gonzalez_garcia.pdf"
3291,"poseído",1,"trad_gonzalez_garcia.pdf"
3292,"poseo",1,"trad_gonzalez_garcia.pdf"
3293,"posesión",4,"trad_gonzalez_garcia.pdf"
3294,"posibilidad",2,"trad_gonzalez_garcia.pdf"
3295,"posible",13,"trad_gonzalez_garcia.pdf"
3296,"posiblemente",1,"trad_gonzalez_garcia.pdf"
3297,"posición",4,"trad_gonzalez_garcia.pdf"
3298,"posta",1,"trad_gonzalez_garcia.pdf"
3299,"postillón",1,"trad_gonzalez_garcia.pdf"
3300,"postor",1,"trad_gonzalez_garcia.pdf"
3301,"postrar",1,"trad_gonzalez_garcia.pdf"
3302,"postura",3,"trad_gonzalez_garcia.pdf"
3303,"pozo",1,"trad_gonzalez_garcia.pdf"
3304,"prácticamente",1,"trad_gonzalez_garcia.pdf"
3305,"practico",1,"trad_gonzalez_garcia.pdf"
3306,"pradera",6,"trad_gonzalez_garcia.pdf"
3307,"prado",1,"trad_gonzalez_garcia.pdf"
3308,"precaución",2,"trad_gonzalez_garcia.pdf"
3309,"preceder",1,"trad_gonzalez_garcia.pdf"
3310,"preceptor",2,"trad_gonzalez_garcia.pdf"
3311,"precio",1,"trad_gonzalez_garcia.pdf"
3312,"precipitación",1,"trad_gonzalez_garcia.pdf"
3313,"precipitado",2,"trad_gonzalez_garcia.pdf"
3314,"precipitándo",1,"trad_gonzalez_garcia.pdf"
3315,"precipitar",4,"trad_gonzalez_garcia.pdf"
3316,"precisa",1,"trad_gonzalez_garcia.pdf"
3317,"precisamente",12,"trad_gonzalez_garcia.pdf"
3318,"preciso",1,"trad_gonzalez_garcia.pdf"
3319,"predecesor",1,"trad_gonzalez_garcia.pdf"
3320,"predicar",1,"trad_gonzalez_garcia.pdf"
3321,"predilección",1,"trad_gonzalez_garcia.pdf"
3322,"predilecto",1,"trad_gonzalez_garcia.pdf"
3323,"preferible",1,"trad_gonzalez_garcia.pdf"
3324,"preferido",1,"trad_gonzalez_garcia.pdf"
3325,"preferir",5,"trad_gonzalez_garcia.pdf"
3326,"prefiero",2,"trad_gonzalez_garcia.pdf"
3327,"pregunta",10,"trad_gonzalez_garcia.pdf"
3328,"preguntar",33,"trad_gonzalez_garcia.pdf"
3329,"pregunto",1,"trad_gonzalez_garcia.pdf"
3330,"prejuicio",1,"trad_gonzalez_garcia.pdf"
3331,"premura",1,"trad_gonzalez_garcia.pdf"
3332,"prenda",1,"trad_gonzalez_garcia.pdf"
3333,"prendido",1,"trad_gonzalez_garcia.pdf"
3334,"preocupación",9,"trad_gonzalez_garcia.pdf"
3335,"preocupado",2,"trad_gonzalez_garcia.pdf"
3336,"preocupante",1,"trad_gonzalez_garcia.pdf"
3337,"preocupar",2,"trad_gonzalez_garcia.pdf"
3338,"preparado",2,"trad_gonzalez_garcia.pdf"
3339,"preparar",3,"trad_gonzalez_garcia.pdf"
3340,"prepararl",1,"trad_gonzalez_garcia.pdf"
3341,"presa",1,"trad_gonzalez_garcia.pdf"
3342,"presagiar",1,"trad_gonzalez_garcia.pdf"
3343,"presagio",1,"trad_gonzalez_garcia.pdf"
3344,"presar",1,"trad_gonzalez_garcia.pdf"
3345,"prescrita",1,"trad_gonzalez_garcia.pdf"
3346,"prescrito",1,"trad_gonzalez_garcia.pdf"
3347,"presencia",19,"trad_gonzalez_garcia.pdf"
3348,"presentar",13,"trad_gonzalez_garcia.pdf"
3349,"presentaro",1,"trad_gonzalez_garcia.pdf"
3350,"presente",9,"trad_gonzalez_garcia.pdf"
3351,"presentimiento",1,"trad_gonzalez_garcia.pdf"
3352,"presentir",2,"trad_gonzalez_garcia.pdf"
3353,"presento",2,"trad_gonzalez_garcia.pdf"
3354,"presión",3,"trad_gonzalez_garcia.pdf"
3355,"preso",6,"trad_gonzalez_garcia.pdf"
3356,"prestado",1,"trad_gonzalez_garcia.pdf"
3357,"prestar",3,"trad_gonzalez_garcia.pdf"
3358,"presunción",2,"trad_gonzalez_garcia.pdf"
3359,"pretender",1,"trad_gonzalez_garcia.pdf"
3360,"pretendiente",2,"trad_gonzalez_garcia.pdf"
3361,"pretensión",1,"trad_gonzalez_garcia.pdf"
3362,"pretexto",1,"trad_gonzalez_garcia.pdf"
3363,"prevenir",1,"trad_gonzalez_garcia.pdf"
3364,"prever",1,"trad_gonzalez_garcia.pdf"
3365,"previr",1,"trad_gonzalez_garcia.pdf"
3366,"previsto",1,"trad_gonzalez_garcia.pdf"
3367,"prima",5,"trad_gonzalez_garcia.pdf"
3368,"primavera",3,"trad_gonzalez_garcia.pdf"
3369,"primaveral",1,"trad_gonzalez_garcia.pdf"
3370,"primero",37,"trad_gonzalez_garcia.pdf"
3371,"primo",4,"trad_gonzalez_garcia.pdf"
3372,"princesa",1,"trad_gonzalez_garcia.pdf"
3373,"principal",3,"trad_gonzalez_garcia.pdf"
3374,"príncipar",3,"trad_gonzalez_garcia.pdf"
3375,"príncipe",9,"trad_gonzalez_garcia.pdf"
3376,"principio",7,"trad_gonzalez_garcia.pdf"
3377,"prisa",6,"trad_gonzalez_garcia.pdf"
3378,"prisión",1,"trad_gonzalez_garcia.pdf"
3379,"priva",1,"trad_gonzalez_garcia.pdf"
3380,"privado",3,"trad_gonzalez_garcia.pdf"
3381,"privilegio",1,"trad_gonzalez_garcia.pdf"
3382,"probablemente",1,"trad_gonzalez_garcia.pdf"
3383,"probar",3,"trad_gonzalez_garcia.pdf"
3384,"problema",1,"trad_gonzalez_garcia.pdf"
3385,"proceder",1,"trad_gonzalez_garcia.pdf"
3386,"procedimiento",1,"trad_gonzalez_garcia.pdf"
3387,"procurar",2,"trad_gonzalez_garcia.pdf"
3388,"producir",18,"trad_gonzalez_garcia.pdf"
3389,"profanar",1,"trad_gonzalez_garcia.pdf"
3390,"profeta",2,"trad_gonzalez_garcia.pdf"
3391,"profundamente",2,"trad_gonzalez_garcia.pdf"
3392,"profundidad",2,"trad_gonzalez_garcia.pdf"
3393,"profundizar",1,"trad_gonzalez_garcia.pdf"
3394,"profundo",14,"trad_gonzalez_garcia.pdf"
3395,"progreso",1,"trad_gonzalez_garcia.pdf"
3396,"prohibiéndo",1,"trad_gonzalez_garcia.pdf"
3397,"prójimo",1,"trad_gonzalez_garcia.pdf"
3398,"prolijo",1,"trad_gonzalez_garcia.pdf"
3399,"prologar",1,"trad_gonzalez_garcia.pdf"
3400,"promesa",1,"trad_gonzalez_garcia.pdf"
3401,"prometer",11,"trad_gonzalez_garcia.pdf"
3402,"prometido",5,"trad_gonzalez_garcia.pdf"
3403,"prometir",1,"trad_gonzalez_garcia.pdf"
3404,"prometo",2,"trad_gonzalez_garcia.pdf"
3405,"promocionar",1,"trad_gonzalez_garcia.pdf"
3406,"pronto",12,"trad_gonzalez_garcia.pdf"
3407,"pronunciar",6,"trad_gonzalez_garcia.pdf"
3408,"propicia",1,"trad_gonzalez_garcia.pdf"
3409,"propicio",1,"trad_gonzalez_garcia.pdf"
3410,"propio",20,"trad_gonzalez_garcia.pdf"
3411,"proponer",2,"trad_gonzalez_garcia.pdf"
3412,"propongo",1,"trad_gonzalez_garcia.pdf"
3413,"proponiéndo",1,"trad_gonzalez_garcia.pdf"
3414,"proporcionado",1,"trad_gonzalez_garcia.pdf"
3415,"proporcional",1,"trad_gonzalez_garcia.pdf"
3416,"proporcionar",10,"trad_gonzalez_garcia.pdf"
3417,"propósito",8,"trad_gonzalez_garcia.pdf"
3418,"propuesta",2,"trad_gonzalez_garcia.pdf"
3419,"propusar",1,"trad_gonzalez_garcia.pdf"
3420,"proseguí",2,"trad_gonzalez_garcia.pdf"
3421,"prosiguir",3,"trad_gonzalez_garcia.pdf"
3422,"protección",1,"trad_gonzalez_garcia.pdf"
3423,"proteger",5,"trad_gonzalez_garcia.pdf"
3424,"protegierar",1,"trad_gonzalez_garcia.pdf"
3425,"protesta",1,"trad_gonzalez_garcia.pdf"
3426,"provecho",2,"trad_gonzalez_garcia.pdf"
3427,"provenir",1,"trad_gonzalez_garcia.pdf"
3428,"provista",1,"trad_gonzalez_garcia.pdf"
3429,"provocar",3,"trad_gonzalez_garcia.pdf"
3430,"próximamente",1,"trad_gonzalez_garcia.pdf"
3431,"próximo",5,"trad_gonzalez_garcia.pdf"
3432,"proyecto",1,"trad_gonzalez_garcia.pdf"
3433,"prueba",1,"trad_gonzalez_garcia.pdf"
3434,"publicar",1,"trad_gonzalez_garcia.pdf"
3435,"público",1,"trad_gonzalez_garcia.pdf"
3436,"puder",1,"trad_gonzalez_garcia.pdf"
3437,"pudierais",1,"trad_gonzalez_garcia.pdf"
3438,"pudir",1,"trad_gonzalez_garcia.pdf"
3439,"pudistir",2,"trad_gonzalez_garcia.pdf"
3440,"pudrar",1,"trad_gonzalez_garcia.pdf"
3441,"pueblo",11,"trad_gonzalez_garcia.pdf"
3442,"puer",1,"trad_gonzalez_garcia.pdf"
3443,"puerta",24,"trad_gonzalez_garcia.pdf"
3444,"puesta",5,"trad_gonzalez_garcia.pdf"
3445,"puesto",5,"trad_gonzalez_garcia.pdf"
3446,"pugnar",1,"trad_gonzalez_garcia.pdf"
3447,"pulgar",1,"trad_gonzalez_garcia.pdf"
3448,"pulmón",1,"trad_gonzalez_garcia.pdf"
3449,"púlpito",1,"trad_gonzalez_garcia.pdf"
3450,"pulso",2,"trad_gonzalez_garcia.pdf"
3451,"pulular",3,"trad_gonzalez_garcia.pdf"
3452,"puñalada",1,"trad_gonzalez_garcia.pdf"
3453,"puño",1,"trad_gonzalez_garcia.pdf"
3454,"puntilloso",1,"trad_gonzalez_garcia.pdf"
3455,"punto",20,"trad_gonzalez_garcia.pdf"
3456,"pureza",4,"trad_gonzalez_garcia.pdf"
3457,"puro",8,"trad_gonzalez_garcia.pdf"
3458,"pusar",2,"trad_gonzalez_garcia.pdf"
3459,"puyo",1,"trad_gonzalez_garcia.pdf"
3460,"quedándo",1,"trad_gonzalez_garcia.pdf"
3461,"quedar",30,"trad_gonzalez_garcia.pdf"
3462,"quedarar",1,"trad_gonzalez_garcia.pdf"
3463,"quedo",3,"trad_gonzalez_garcia.pdf"
3464,"queja",4,"trad_gonzalez_garcia.pdf"
3465,"quejándo",1,"trad_gonzalez_garcia.pdf"
3466,"quejar",3,"trad_gonzalez_garcia.pdf"
3467,"quejar-",1,"trad_gonzalez_garcia.pdf"
3468,"quejido",2,"trad_gonzalez_garcia.pdf"
3469,"quejo",1,"trad_gonzalez_garcia.pdf"
3470,"queráis",1,"trad_gonzalez_garcia.pdf"
3471,"queréis",1,"trad_gonzalez_garcia.pdf"
3472,"querer",129,"trad_gonzalez_garcia.pdf"
3473,"queridísimo",2,"trad_gonzalez_garcia.pdf"
3474,"querido",19,"trad_gonzalez_garcia.pdf"
3475,"querir",1,"trad_gonzalez_garcia.pdf"
3476,"querríais",1,"trad_gonzalez_garcia.pdf"
3477,"querrir",1,"trad_gonzalez_garcia.pdf"
3478,"quien",43,"trad_gonzalez_garcia.pdf"
3479,"quier",2,"trad_gonzalez_garcia.pdf"
3480,"quiera",3,"trad_gonzalez_garcia.pdf"
3481,"quince",1,"trad_gonzalez_garcia.pdf"
3482,"quisir",1,"trad_gonzalez_garcia.pdf"
3483,"quitadme",1,"trad_gonzalez_garcia.pdf"
3484,"quitar",14,"trad_gonzalez_garcia.pdf"
3485,"quitár",1,"trad_gonzalez_garcia.pdf"
3486,"quizá",13,"trad_gonzalez_garcia.pdf"
3487,"quizás",1,"trad_gonzalez_garcia.pdf"
3488,"r",4,"trad_gonzalez_garcia.pdf"
3489,"raber",1,"trad_gonzalez_garcia.pdf"
3490,"rabia",1,"trad_gonzalez_garcia.pdf"
3491,"radicar",4,"trad_gonzalez_garcia.pdf"
3492,"raer",1,"trad_gonzalez_garcia.pdf"
3493,"ráfaga",2,"trad_gonzalez_garcia.pdf"
3494,"raíl",1,"trad_gonzalez_garcia.pdf"
3495,"raíz",2,"trad_gonzalez_garcia.pdf"
3496,"rama",3,"trad_gonzalez_garcia.pdf"
3497,"ramillete",1,"trad_gonzalez_garcia.pdf"
3498,"ramo",3,"trad_gonzalez_garcia.pdf"
3499,"rango",1,"trad_gonzalez_garcia.pdf"
3500,"rápidamente",2,"trad_gonzalez_garcia.pdf"
3501,"rápido",7,"trad_gonzalez_garcia.pdf"
3502,"raro",6,"trad_gonzalez_garcia.pdf"
3503,"rasgado",1,"trad_gonzalez_garcia.pdf"
3504,"rasgo",3,"trad_gonzalez_garcia.pdf"
3505,"rastro",3,"trad_gonzalez_garcia.pdf"
3506,"rato",2,"trad_gonzalez_garcia.pdf"
3507,"rayo",14,"trad_gonzalez_garcia.pdf"
3508,"raza",1,"trad_gonzalez_garcia.pdf"
3509,"razón",20,"trad_gonzalez_garcia.pdf"
3510,"razonabilísimo",1,"trad_gonzalez_garcia.pdf"
3511,"razonable",5,"trad_gonzalez_garcia.pdf"
3512,"razonamiento",2,"trad_gonzalez_garcia.pdf"
3513,"reaccionar",2,"trad_gonzalez_garcia.pdf"
3514,"real",3,"trad_gonzalez_garcia.pdf"
3515,"realidad",2,"trad_gonzalez_garcia.pdf"
3516,"realizar",1,"trad_gonzalez_garcia.pdf"
3517,"realmente",8,"trad_gonzalez_garcia.pdf"
3518,"rebaja",1,"trad_gonzalez_garcia.pdf"
3519,"rebajar",1,"trad_gonzalez_garcia.pdf"
3520,"rebanada",1,"trad_gonzalez_garcia.pdf"
3521,"rebaño",1,"trad_gonzalez_garcia.pdf"
3522,"rebatir",1,"trad_gonzalez_garcia.pdf"
3523,"rebosar",1,"trad_gonzalez_garcia.pdf"
3524,"recaer",2,"trad_gonzalez_garcia.pdf"
3525,"recaigan",1,"trad_gonzalez_garcia.pdf"
3526,"recalar",1,"trad_gonzalez_garcia.pdf"
3527,"receptivo",1,"trad_gonzalez_garcia.pdf"
3528,"recer",1,"trad_gonzalez_garcia.pdf"
3529,"rechazar",1,"trad_gonzalez_garcia.pdf"
3530,"rechinar",1,"trad_gonzalez_garcia.pdf"
3531,"recibimiento",1,"trad_gonzalez_garcia.pdf"
3532,"recibir",13,"trad_gonzalez_garcia.pdf"
3533,"recibiréis",1,"trad_gonzalez_garcia.pdf"
3534,"recibo",1,"trad_gonzalez_garcia.pdf"
3535,"recién",1,"trad_gonzalez_garcia.pdf"
3536,"reciente",1,"trad_gonzalez_garcia.pdf"
3537,"recientemente",1,"trad_gonzalez_garcia.pdf"
3538,"recitar",1,"trad_gonzalez_garcia.pdf"
3539,"reclinado",1,"trad_gonzalez_garcia.pdf"
3540,"recobrar",2,"trad_gonzalez_garcia.pdf"
3541,"recoger",8,"trad_gonzalez_garcia.pdf"
3542,"recogido",1,"trad_gonzalez_garcia.pdf"
3543,"recogimiento",2,"trad_gonzalez_garcia.pdf"
3544,"recojo",1,"trad_gonzalez_garcia.pdf"
3545,"recomendar",1,"trad_gonzalez_garcia.pdf"
3546,"recomendár",1,"trad_gonzalez_garcia.pdf"
3547,"reconducirla",1,"trad_gonzalez_garcia.pdf"
3548,"reconocer",10,"trad_gonzalez_garcia.pdf"
3549,"reconocierar",1,"trad_gonzalez_garcia.pdf"
3550,"reconstruí",1,"trad_gonzalez_garcia.pdf"
3551,"recopilar",2,"trad_gonzalez_garcia.pdf"
3552,"recordábar",1,"trad_gonzalez_garcia.pdf"
3553,"recordar",17,"trad_gonzalez_garcia.pdf"
3554,"recorrer",6,"trad_gonzalez_garcia.pdf"
3555,"recorrí",1,"trad_gonzalez_garcia.pdf"
3556,"recostándo",1,"trad_gonzalez_garcia.pdf"
3557,"recreo",1,"trad_gonzalez_garcia.pdf"
3558,"recto",1,"trad_gonzalez_garcia.pdf"
3559,"recuérdame",1,"trad_gonzalez_garcia.pdf"
3560,"recuerdo",20,"trad_gonzalez_garcia.pdf"
3561,"recuperar",4,"trad_gonzalez_garcia.pdf"
3562,"redonder",1,"trad_gonzalez_garcia.pdf"
3563,"redondo",1,"trad_gonzalez_garcia.pdf"
3564,"reducido",1,"trad_gonzalez_garcia.pdf"
3565,"reducir",1,"trad_gonzalez_garcia.pdf"
3566,"reencuentro",2,"trad_gonzalez_garcia.pdf"
3567,"referente",1,"trad_gonzalez_garcia.pdf"
3568,"referir",5,"trad_gonzalez_garcia.pdf"
3569,"reflejado",1,"trad_gonzalez_garcia.pdf"
3570,"reflejar",1,"trad_gonzalez_garcia.pdf"
3571,"reflejarar",1,"trad_gonzalez_garcia.pdf"
3572,"reflejaría",1,"trad_gonzalez_garcia.pdf"
3573,"reflejo",2,"trad_gonzalez_garcia.pdf"
3574,"reflexión",4,"trad_gonzalez_garcia.pdf"
3575,"reflexionar",1,"trad_gonzalez_garcia.pdf"
3576,"reflexiono",1,"trad_gonzalez_garcia.pdf"
3577,"reforma",1,"trad_gonzalez_garcia.pdf"
3578,"reforzar",1,"trad_gonzalez_garcia.pdf"
3579,"refrendado",1,"trad_gonzalez_garcia.pdf"
3580,"refrendar",1,"trad_gonzalez_garcia.pdf"
3581,"refugio",1,"trad_gonzalez_garcia.pdf"
3582,"refulgente",1,"trad_gonzalez_garcia.pdf"
3583,"regalar",3,"trad_gonzalez_garcia.pdf"
3584,"regalastir",1,"trad_gonzalez_garcia.pdf"
3585,"regalo",8,"trad_gonzalez_garcia.pdf"
3586,"regar",1,"trad_gonzalez_garcia.pdf"
3587,"regazo",1,"trad_gonzalez_garcia.pdf"
3588,"región",9,"trad_gonzalez_garcia.pdf"
3589,"regir",1,"trad_gonzalez_garcia.pdf"
3590,"regla",2,"trad_gonzalez_garcia.pdf"
3591,"regresaba",1,"trad_gonzalez_garcia.pdf"
3592,"regresad",1,"trad_gonzalez_garcia.pdf"
3593,"regresar",22,"trad_gonzalez_garcia.pdf"
3594,"regreso",3,"trad_gonzalez_garcia.pdf"
3595,"reina",1,"trad_gonzalez_garcia.pdf"
3596,"reino",1,"trad_gonzalez_garcia.pdf"
3597,"reír",2,"trad_gonzalez_garcia.pdf"
3598,"reírme",1,"trad_gonzalez_garcia.pdf"
3599,"relación",15,"trad_gonzalez_garcia.pdf"
3600,"relacionado",1,"trad_gonzalez_garcia.pdf"
3601,"relajar",1,"trad_gonzalez_garcia.pdf"
3602,"relamir",1,"trad_gonzalez_garcia.pdf"
3603,"relámpago",1,"trad_gonzalez_garcia.pdf"
3604,"relativo",1,"trad_gonzalez_garcia.pdf"
3605,"releo",1,"trad_gonzalez_garcia.pdf"
3606,"religión",1,"trad_gonzalez_garcia.pdf"
3607,"religioso",3,"trad_gonzalez_garcia.pdf"
3608,"reluce",1,"trad_gonzalez_garcia.pdf"
3609,"rememorar",2,"trad_gonzalez_garcia.pdf"
3610,"remienda",1,"trad_gonzalez_garcia.pdf"
3611,"remordimiento",1,"trad_gonzalez_garcia.pdf"
3612,"removién",1,"trad_gonzalez_garcia.pdf"
3613,"rencor",2,"trad_gonzalez_garcia.pdf"
3614,"renegar",1,"trad_gonzalez_garcia.pdf"
3615,"renuncia",1,"trad_gonzalez_garcia.pdf"
3616,"renunciad",1,"trad_gonzalez_garcia.pdf"
3617,"rep",1,"trad_gonzalez_garcia.pdf"
3618,"repararía",1,"trad_gonzalez_garcia.pdf"
3619,"reparo",1,"trad_gonzalez_garcia.pdf"
3620,"repartido",1,"trad_gonzalez_garcia.pdf"
3621,"repartir",1,"trad_gonzalez_garcia.pdf"
3622,"repasar",2,"trad_gonzalez_garcia.pdf"
3623,"repente",9,"trad_gonzalez_garcia.pdf"
3624,"repentino",1,"trad_gonzalez_garcia.pdf"
3625,"repetí",1,"trad_gonzalez_garcia.pdf"
3626,"repetido",1,"trad_gonzalez_garcia.pdf"
3627,"repetir",9,"trad_gonzalez_garcia.pdf"
3628,"repitar",1,"trad_gonzalez_garcia.pdf"
3629,"repito",1,"trad_gonzalez_garcia.pdf"
3630,"repleto",1,"trad_gonzalez_garcia.pdf"
3631,"replicar",3,"trad_gonzalez_garcia.pdf"
3632,"reponer",1,"trad_gonzalez_garcia.pdf"
3633,"reportar",1,"trad_gonzalez_garcia.pdf"
3634,"reposar",1,"trad_gonzalez_garcia.pdf"
3635,"reposo",3,"trad_gonzalez_garcia.pdf"
3636,"reprenda",2,"trad_gonzalez_garcia.pdf"
3637,"reprender",3,"trad_gonzalez_garcia.pdf"
3638,"representar",6,"trad_gonzalez_garcia.pdf"
3639,"reprimenda",2,"trad_gonzalez_garcia.pdf"
3640,"reprobable",1,"trad_gonzalez_garcia.pdf"
3641,"reprobr",1,"trad_gonzalez_garcia.pdf"
3642,"reprochar",1,"trad_gonzalez_garcia.pdf"
3643,"reprochármelo",1,"trad_gonzalez_garcia.pdf"
3644,"reproche",2,"trad_gonzalez_garcia.pdf"
3645,"reprocho",1,"trad_gonzalez_garcia.pdf"
3646,"reproducir",1,"trad_gonzalez_garcia.pdf"
3647,"repulsión",2,"trad_gonzalez_garcia.pdf"
3648,"repulsivo",2,"trad_gonzalez_garcia.pdf"
3649,"repusar",2,"trad_gonzalez_garcia.pdf"
3650,"reputación",1,"trad_gonzalez_garcia.pdf"
3651,"resaltar",1,"trad_gonzalez_garcia.pdf"
3652,"reservado",1,"trad_gonzalez_garcia.pdf"
3653,"reservar",2,"trad_gonzalez_garcia.pdf"
3654,"residir",1,"trad_gonzalez_garcia.pdf"
3655,"resiente",1,"trad_gonzalez_garcia.pdf"
3656,"resignación",4,"trad_gonzalez_garcia.pdf"
3657,"resignado",2,"trad_gonzalez_garcia.pdf"
3658,"resignar",2,"trad_gonzalez_garcia.pdf"
3659,"resistencia",1,"trad_gonzalez_garcia.pdf"
3660,"resistir",5,"trad_gonzalez_garcia.pdf"
3661,"resistír",1,"trad_gonzalez_garcia.pdf"
3662,"resolución",2,"trad_gonzalez_garcia.pdf"
3663,"resonar",4,"trad_gonzalez_garcia.pdf"
3664,"respaldo",1,"trad_gonzalez_garcia.pdf"
3665,"respecto",9,"trad_gonzalez_garcia.pdf"
3666,"respetable",1,"trad_gonzalez_garcia.pdf"
3667,"respetar",2,"trad_gonzalez_garcia.pdf"
3668,"respeto",7,"trad_gonzalez_garcia.pdf"
3669,"respiración",1,"trad_gonzalez_garcia.pdf"
3670,"respirar",6,"trad_gonzalez_garcia.pdf"
3671,"resplandecer",1,"trad_gonzalez_garcia.pdf"
3672,"resplandeciente",1,"trad_gonzalez_garcia.pdf"
3673,"resplandor",2,"trad_gonzalez_garcia.pdf"
3674,"respondar",1,"trad_gonzalez_garcia.pdf"
3675,"respóndemer",1,"trad_gonzalez_garcia.pdf"
3676,"responder",27,"trad_gonzalez_garcia.pdf"
3677,"respondo",2,"trad_gonzalez_garcia.pdf"
3678,"responsabilidad",1,"trad_gonzalez_garcia.pdf"
3679,"respuesta",7,"trad_gonzalez_garcia.pdf"
3680,"respuesto",1,"trad_gonzalez_garcia.pdf"
3681,"restablecer",2,"trad_gonzalez_garcia.pdf"
3682,"restañar",1,"trad_gonzalez_garcia.pdf"
3683,"restante",1,"trad_gonzalez_garcia.pdf"
3684,"restar",1,"trad_gonzalez_garcia.pdf"
3685,"resto",13,"trad_gonzalez_garcia.pdf"
3686,"resuelto",1,"trad_gonzalez_garcia.pdf"
3687,"resuen",1,"trad_gonzalez_garcia.pdf"
3688,"resuene",1,"trad_gonzalez_garcia.pdf"
3689,"resultado",3,"trad_gonzalez_garcia.pdf"
3690,"resultar",27,"trad_gonzalez_garcia.pdf"
3691,"resulto",1,"trad_gonzalez_garcia.pdf"
3692,"resumen",6,"trad_gonzalez_garcia.pdf"
3693,"retener",5,"trad_gonzalez_garcia.pdf"
3694,"retenir",1,"trad_gonzalez_garcia.pdf"
3695,"retirar",5,"trad_gonzalez_garcia.pdf"
3696,"retiro",1,"trad_gonzalez_garcia.pdf"
3697,"retomar",1,"trad_gonzalez_garcia.pdf"
3698,"retomo",1,"trad_gonzalez_garcia.pdf"
3699,"retorcido",1,"trad_gonzalez_garcia.pdf"
3700,"retorciéndo",1,"trad_gonzalez_garcia.pdf"
3701,"retorcir",1,"trad_gonzalez_garcia.pdf"
3702,"retornar",1,"trad_gonzalez_garcia.pdf"
3703,"retraimiento",1,"trad_gonzalez_garcia.pdf"
3704,"retrásalo",1,"trad_gonzalez_garcia.pdf"
3705,"retrato",1,"trad_gonzalez_garcia.pdf"
3706,"retroceder",3,"trad_gonzalez_garcia.pdf"
3707,"retrocedo",1,"trad_gonzalez_garcia.pdf"
3708,"retumbante",1,"trad_gonzalez_garcia.pdf"
3709,"retuver",1,"trad_gonzalez_garcia.pdf"
3710,"reuner",1,"trad_gonzalez_garcia.pdf"
3711,"reunido",1,"trad_gonzalez_garcia.pdf"
3712,"reunimo",1,"trad_gonzalez_garcia.pdf"
3713,"reunir",7,"trad_gonzalez_garcia.pdf"
3714,"revelar",2,"trad_gonzalez_garcia.pdf"
3715,"reverencia",1,"trad_gonzalez_garcia.pdf"
3716,"revés",1,"trad_gonzalez_garcia.pdf"
3717,"revivir",2,"trad_gonzalez_garcia.pdf"
3718,"revolotear",1,"trad_gonzalez_garcia.pdf"
3719,"revolver",1,"trad_gonzalez_garcia.pdf"
3720,"revuelo",1,"trad_gonzalez_garcia.pdf"
3721,"rey",5,"trad_gonzalez_garcia.pdf"
3722,"rezar",1,"trad_gonzalez_garcia.pdf"
3723,"rezo",1,"trad_gonzalez_garcia.pdf"
3724,"rí",1,"trad_gonzalez_garcia.pdf"
3725,"rico",2,"trad_gonzalez_garcia.pdf"
3726,"ridículo",3,"trad_gonzalez_garcia.pdf"
3727,"riéndo",1,"trad_gonzalez_garcia.pdf"
3728,"rígido",3,"trad_gonzalez_garcia.pdf"
3729,"rimbombante",1,"trad_gonzalez_garcia.pdf"
3730,"riña",1,"trad_gonzalez_garcia.pdf"
3731,"rincón",2,"trad_gonzalez_garcia.pdf"
3732,"rindir",1,"trad_gonzalez_garcia.pdf"
3733,"río",10,"trad_gonzalez_garcia.pdf"
3734,"riqueza",2,"trad_gonzalez_garcia.pdf"
